39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590;39.799830,116.478550;39.799790,116.478480;39.799500,116.474500;39.799420,116.474520;39.799480,116.474520;39.818860,116.453250;39.829430,116.441650;39.842600,116.440850;39.842840,116.440820;39.842960,116.440800;39.844400,116.436810;39.845230,116.422240;39.845240,116.422240;39.847680,116.422240;39.848160,116.426430;39.848160,116.426550;39.848160,116.426810;39.848150,116.427010;39.848660,116.427450;39.856640,116.426010;39.866630,116.424260;39.867710,116.424210;39.867680,116.424160;39.867650,116.424150;39.867180,116.427620
39.872160,116.630110;39.886800,116.642010;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872250,116.630230;39.886540,116.641990;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110;39.872250,116.630230;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.872250,116.630230;39.774070,116.659800;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872160,116.630110;39.886800,116.642010;39.774070,116.659800;39.886510,116.642360
39.966990,116.390040;39.975410,116.411450;39.980180,116.427330;39.982120,116.421400;39.967740,116.405080;39.966380,116.339240;39.941070,116.304000;39.895590,116.302240;39.896190,116.335930;39.896350,116.335710;39.889370,116.315660;39.891000,116.304490;39.895500,116.313630;39.893680,116.312930;39.873540,116.343190;39.870680,116.401270;39.852530,116.417490;39.844460,116.405780;39.845750,116.399420;39.855930,116.406690;39.855920,116.406690;39.855930,116.406680;39.855910,116.395710;39.863830,116.388500;39.864280,116.381550;39.873550,116.415130;39.895740,116.415350;39.888110,116.412810;39.865020,116.415410;39.847670,116.403960;39.859790,116.394450;39.864040,116.415070;39.884930,116.413780;39.892260,116.428030;39.893840,116.449610
39.901530,116.367820;39.899910,116.367820;39.898940,116.367880;39.887890,116.380290;39.891530,116.394650;39.905320,116.405250;39.908390,116.411520;39.907470,116.411530;39.906930,116.419430;39.896100,116.454090;39.896090,116.454080;39.896120,116.454170;39.896020,116.450030;39.893780,116.449530;39.892630,116.449560;39.883260,116.454160;39.883000,116.456470;39.883080,116.459040;39.883320,116.460060;39.883280,116.458710;39.894100,116.455530;39.907300,116.449280;39.907270,116.449240;39.907310,116.444490;39.907310,116.444450;39.910830,116.444250;39.939730,116.455640;39.962370,116.439370;39.971030,116.426600;39.990630,116.417840;39.997580,116.411430;40.026440,116.411940;40.049600,116.405740;40.060300,116.412940;40.060280,116.412940
39.911120,116.495500;39.911130,116.495570;39.910820,116.495150;39.910820,116.495120;39.912880,116.495250;39.914550,116.500390;39.914750,116.502140;39.914740,116.502000;39.914740,116.501720;39.915360,116.463400;39.931910,116.455620;39.939940,116.445570;39.939670,116.421370;39.939510,116.410680;39.940020,116.405460;39.940030,116.405460;39.940000,116.405460;39.939930,116.405140;39.939420,116.403160;39.939290,116.404990;39.939330,116.405620;39.939340,116.405840;39.939340,116.405950;39.939690,116.434880;39.948890,116.443720;39.948930,116.443740;39.948940,116.443760;39.948910,116.443700;39.948410,116.443320;39.948350,116.443260;39.948160,116.443120;39.947130,116.442610;39.939770,116.438600;39.926480,116.428050;39.907920,116.417160
39.905650,116.411630;39.905680,116.411570;39.905670,116.411610;39.905620,116.411610;39.899780,116.410840;39.909110,116.410710;39.932170,116.410930;39.952110,116.419160;39.952130,116.419220;39.952530,116.418990;39.952480,116.418980;39.948090,116.423690;39.932270,116.448830;39.926040,116.461340;39.926070,116.461300;39.926060,116.461320;39.932450,116.450880;39.939930,116.433470;39.950950,116.419070;39.952090,116.419080;39.952120,116.419050;39.952230,116.419150;39.952100,116.419120;39.952170,116.419190;39.952120,116.419050;39.952150,116.419120;39.952090,116.419250;39.952200,116.419100;39.952190,116.419160;39.952390,116.419290;39.952410,116.419170;39.952480,116.419210;39.952440,116.419230;39.952050,116.419010;39.951860,116.419010
40.078190,116.581540;40.078150,116.581530;40.078160,116.581530;40.078170,116.581540;40.078160,116.581530;40.078150,116.581580;40.078160,116.581570;40.078200,116.581530;40.078190,116.581530;40.078170,116.581560;40.078180,116.581510;40.078160,116.581520;40.078140,116.581510;40.078150,116.581500;40.078160,116.581510;40.078170,116.581560;40.078140,116.581560;40.078140,116.581550;40.078150,116.581560;40.078140,116.581530;40.077000,116.586420;40.079510,116.586890;40.079740,116.586490;40.079730,116.586500;40.080100,116.587060;40.079480,116.586640;40.079580,116.586530;40.079670,116.586570;40.079650,116.586680;40.080760,116.586410;40.080130,116.586230;40.079640,116.586700;40.079840,116.585550;40.079990,116.585530;40.079820,116.585390
40.006380,116.503360;39.996170,116.492080;39.986060,116.480980;39.967100,116.459930;39.949580,116.440380;39.948470,116.440740;39.945280,116.444180;39.940290,116.444140;39.938900,116.444160;39.936230,116.444200;39.932860,116.444060;39.931870,116.444070;39.926350,116.444070;39.921700,116.443920;39.922020,116.439360;39.922500,116.436850;39.922810,116.434630;39.922860,116.433790;39.922970,116.433220;39.923050,116.432280;39.923170,116.431170;39.923230,116.430370;39.923310,116.430090;39.923450,116.427910;39.921380,116.427860;39.919110,116.428300;39.914040,116.428520;39.912320,116.428730;39.909460,116.429390;39.899460,116.426240;39.899240,116.418940;39.900150,116.414050;39.901960,116.416710;39.902710,116.417780;39.902700,116.417750
39.967600,116.421840;39.944270,116.455470;39.943960,116.455880;39.944810,116.455870;39.946560,116.461110;39.946480,116.462500;39.936140,116.468610;39.926420,116.466950;39.921990,116.463150;39.907010,116.455420;39.906890,116.465530;39.906890,116.465760;39.906620,116.470600;39.906760,116.472510;39.909620,116.483860;39.915080,116.509410;39.912650,116.510650;39.912640,116.510650;39.912640,116.510640;39.912660,116.510630;39.914130,116.512330;39.915340,116.515270;39.915030,116.515330;39.907110,116.491540;39.907120,116.491310;39.907110,116.491270;39.907100,116.491240;39.907080,116.491230;39.907060,116.490890;39.921850,116.495760;39.930140,116.511060;39.930150,116.511090;39.930150,116.511410;39.937470,116.511430;39.940300,116.536330
39.795120,116.474670;39.795240,116.474870;39.795790,116.472920;39.797630,116.471800;39.800010,116.474120;39.800000,116.474220;39.799970,116.474240;39.800000,116.474210;39.802730,116.471700;39.802800,116.471620;39.807000,116.466640;39.807030,116.466620;39.807100,116.466570;39.819850,116.495770;39.820100,116.522130;39.818380,116.574210;39.840450,116.596330;39.874910,116.644820;39.876740,116.642480;39.876740,116.642500;39.876750,116.642500;39.877590,116.640930;39.884310,116.637350;39.887530,116.637670;39.889720,116.637650;39.904460,116.630760;39.913260,116.575170;39.914830,116.546840;39.914980,116.539820;39.915990,116.521000;39.922620,116.511320;39.915440,116.511770;39.915430,116.511770;39.915400,116.511480;39.914810,116.502210
39.146500,117.139470;39.146530,117.139450;39.146520,117.139490;39.146500,117.139460;39.146510,117.139510;39.146530,117.139500;39.146530,117.139480;39.146550,117.139500;39.146540,117.139540;39.146520,117.139510;39.146500,117.139460;39.146490,117.139430;39.146510,117.139510;39.146480,117.139450;39.146470,117.139430;39.146500,117.139460;39.146450,117.139420;39.146520,117.139500;39.146480,117.139460;39.146490,117.139440;39.146480,117.139470;39.146510,117.139510;39.146520,117.139530;39.146530,117.139530;39.146540,117.139530;39.146540,117.139520;39.146500,117.139490;39.146540,117.139540;39.146490,117.139500;39.146550,117.139560;39.146540,117.139530;39.146550,117.139500;39.146520,117.139520;39.146600,117.139590;39.146550,117.139540
40.064130,116.582850;40.050340,116.582620;40.033960,116.563870;40.027260,116.547360;40.016020,116.515760;40.006110,116.503190;39.984230,116.478980;39.974630,116.468160;39.967780,116.466210;39.961470,116.476210;39.939850,116.483650;39.935890,116.483620;39.931440,116.483610;39.921820,116.483500;39.916440,116.483240;39.915690,116.483370;39.915590,116.483370;39.914400,116.482960;39.914260,116.488800;39.914520,116.499970;39.914520,116.501120;39.914800,116.504040;39.914890,116.500570;39.914620,116.492060;39.914380,116.479250;39.921450,116.472040;39.921830,116.467150;39.922110,116.456050;39.922110,116.456080;39.922090,116.452920;39.922150,116.447750;39.921600,116.445010;39.921590,116.444920;39.922310,116.438000;39.922910,116.434810
40.041640,116.250840;40.043080,116.247250;40.044750,116.241620;40.044700,116.238980;40.042190,116.223680;40.040650,116.218740;40.040180,116.216810;40.039920,116.201390;40.040000,116.201090;40.040000,116.201100;40.039140,116.200900;40.037210,116.201540;40.033340,116.203650;40.031430,116.205440;40.031450,116.205410;40.032580,116.204270;40.034420,116.202860;40.036260,116.201940;40.039550,116.200810;40.039830,116.200720;40.039820,116.200720;40.038940,116.206290;40.038580,116.210910;40.039760,116.215560;40.041710,116.222460;40.044120,116.232050;40.044380,116.236100;40.044620,116.239110;40.044490,116.243180;40.043330,116.246570;40.041460,116.251150;40.041440,116.251310;40.040980,116.252170;40.039670,116.254650;40.037130,116.258050
39.998360,116.347070;39.998340,116.347030;39.998510,116.347010;39.999440,116.346850;39.999880,116.355360;39.999980,116.358010;40.000050,116.360680;40.000100,116.363130;40.000110,116.363110;39.998450,116.401410;39.998490,116.401380;39.997050,116.401420;39.994450,116.401330;39.994090,116.401320;39.994070,116.401280;39.994080,116.401270;39.991500,116.401310;39.987330,116.401170;39.986970,116.403190;39.987190,116.408000;39.987310,116.413640;39.987560,116.420640;39.987130,116.433820;39.984800,116.439960;39.981920,116.444990;39.979410,116.448900;39.977670,116.451540;39.976280,116.453690;39.973860,116.457370;39.971610,116.460770;39.970700,116.462160;39.969350,116.464150;39.968060,116.466070;39.966820,116.467980;39.958480,116.480250
40.000010,116.358010;40.000010,116.358000;40.000020,116.359320;40.000220,116.367180;39.997210,116.374060;39.996470,116.374080;39.995520,116.374080;39.995390,116.374020;39.993490,116.373990;39.992650,116.367160;39.992450,116.362980;39.992060,116.362730;39.992060,116.362740;39.988630,116.362980;39.986440,116.363030;39.985590,116.363070;39.982850,116.363220;39.980750,116.363240;39.980620,116.363260;39.978310,116.363320;39.976260,116.363410;39.975860,116.363370;39.975360,116.362410;39.975330,116.359960;39.975380,116.360010;39.975320,116.358810;39.975280,116.355220;39.975250,116.348330;39.975240,116.348320;39.975230,116.347690;39.975190,116.344640;39.975140,116.341330;39.975150,116.339440;39.975130,116.330920;39.975190,116.328120
39.958530,116.296480;39.958520,116.296460;39.959240,116.298640;39.959750,116.299810;39.959740,116.299760;39.959970,116.301830;39.959620,116.301840;39.959630,116.301850;39.959630,116.301800;39.959470,116.301460;39.959510,116.301530;39.957450,116.302290;39.948230,116.303570;39.939760,116.303970;39.935580,116.304030;39.933010,116.303980;39.929090,116.303970;39.926920,116.303910;39.924050,116.303870;39.923720,116.303820;39.922940,116.303300;39.922280,116.303850;39.922230,116.314790;39.921940,116.319800;39.921790,116.323380;39.921520,116.328270;39.917270,116.328440;39.916990,116.331190;39.917040,116.336200;39.917040,116.338320;39.917040,116.342810;39.917060,116.345880;39.917070,116.347790;39.917010,116.349300;39.917030,116.349310
39.979130,116.352550;39.977100,116.352670;39.975300,116.352690;39.975460,116.349570;39.975220,116.349310;39.975150,116.348660;39.971700,116.346760;39.970390,116.346860;39.966530,116.343190;39.966520,116.343180;39.966490,116.343180;39.966500,116.343180;39.966540,116.343190;39.966520,116.343180;39.966490,116.343260;39.966520,116.343200;39.966560,116.335450;39.966570,116.329240;39.966430,116.322810;39.966370,116.321370;39.966250,116.320870;39.966940,116.314720;39.970430,116.313250;39.970500,116.313210;39.971650,116.312750;39.974110,116.311650;39.974330,116.311570;39.974310,116.311570;39.966980,116.314520;39.966860,116.314640;39.966870,116.314650;39.966060,116.314980;39.966110,116.314990;39.966170,116.315000;39.966220,116.315010
40.077540,116.365310;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077080,116.365050;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077080,116.365050;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390
39.840440,116.380500;39.840660,116.380480;39.841270,116.380430;39.841890,116.380430;39.842250,116.380410;39.842790,116.380400;39.843090,116.380390;39.852480,116.380730;39.853010,116.380730;39.853080,116.380730;39.853430,116.380750;39.854680,116.380680;39.854690,116.380580;39.855050,116.380570;39.858760,116.380620;39.863340,116.381200;39.863530,116.381250;39.871740,116.381600;39.876260,116.381300;39.880440,116.381240;39.887380,116.378640;39.887750,116.378610;39.892090,116.378520;39.895570,116.378250;39.895950,116.378190;39.900020,116.377950;39.905170,116.376690;39.905130,116.376590;39.905640,116.376600;39.910900,116.375640;39.911010,116.375430;39.913130,116.371350;39.913360,116.366650;39.913040,116.362760;39.912840,116.358150
39.934550,116.100870;39.935410,116.100480;39.929530,116.106370;39.929500,116.106470;39.929440,116.106450;39.925030,116.108780;39.918730,116.107200;39.910360,116.105650;39.902450,116.104650;39.894080,116.102860;39.889060,116.106600;39.885400,116.118620;39.887730,116.131490;39.888330,116.142670;39.885790,116.155270;39.889780,116.165590;39.890240,116.178760;39.887830,116.190790;39.890900,116.202400;39.895740,116.240140;39.895680,116.289080;39.895730,116.300560;39.895700,116.309720;39.896000,116.332040;39.895700,116.342020;39.896420,116.346360;39.896110,116.346660;39.894770,116.348530;39.894780,116.350380;39.894770,116.350800;39.894930,116.356680;39.894900,116.356710;39.894780,116.357040;39.891130,116.357120;39.888210,116.356700
39.837160,116.280480;39.829250,116.299860;39.829210,116.313310;39.829650,116.338960;39.829600,116.350320;39.829670,116.360930;39.829910,116.368750;39.830050,116.374920;39.830150,116.377900;39.830320,116.384130;39.830460,116.392790;39.827220,116.394830;39.824840,116.395090;39.810260,116.395930;39.806180,116.396120;39.804140,116.396220;39.803780,116.396230;39.803590,116.403710;39.803720,116.406890;39.801560,116.410910;39.800770,116.411680;39.800060,116.411630;39.799970,116.411720;39.800020,116.412000;39.804060,116.410410;39.803920,116.405430;39.803910,116.405250;39.805930,116.396670;39.806320,116.396610;39.810150,116.396290;39.815440,116.396050;39.815430,116.396050;39.815830,116.395990;39.821260,116.395760;39.822050,116.395690
39.898410,116.375660;39.909830,116.367720;39.916620,116.358860;39.931630,116.361920;39.936130,116.362330;39.956110,116.365040;39.974950,116.363720;39.974360,116.342250;39.979520,116.334790;39.967560,116.332850;39.953270,116.329320;39.944560,116.318530;39.944860,116.293660;39.941460,116.268530;39.941600,116.268570;39.923040,116.258980;39.899140,116.258530;39.895470,116.234840;39.895990,116.236840;39.902660,116.246400;39.905960,116.265820;39.902670,116.262980;39.913620,116.185610;39.913590,116.185620;39.909530,116.200210;39.923580,116.193920;39.925020,116.186030;39.914860,116.192520;39.902490,116.202720;39.888750,116.204730;39.891070,116.201850;39.908870,116.200280;39.926460,116.200470;39.926450,116.200360;39.933340,116.185430
39.914970,116.444130;39.915000,116.444160;39.916100,116.444030;39.920640,116.444210;39.920640,116.446650;39.921290,116.446660;39.921970,116.450420;39.921960,116.454550;39.924050,116.455670;39.934540,116.455590;39.939170,116.455650;39.950940,116.455340;39.956050,116.449020;39.959190,116.444570;39.960170,116.450060;39.959480,116.450310;39.956680,116.445670;39.957390,116.447370;39.961490,116.452810;39.966090,116.457940;39.969530,116.463720;39.964370,116.471600;39.960730,116.476910;39.956980,116.480880;39.956610,116.481120;39.957290,116.485790;39.958310,116.488670;39.957290,116.492740;39.956200,116.493100;39.958940,116.492080;39.958920,116.491940;39.958920,116.491850;39.958930,116.491880;39.958900,116.491880;39.958880,116.491850
39.987650,116.482120;39.987670,116.482100;39.986050,116.479740;39.984280,116.475040;39.986340,116.472120;39.991210,116.464600;39.996360,116.461980;40.001050,116.461790;40.006900,116.461450;40.007180,116.461400;40.007450,116.460660;40.005880,116.456530;40.005890,116.456740;40.007210,116.458150;40.004880,116.461300;40.003610,116.457250;40.000830,116.456730;39.995680,116.456500;39.992530,116.456710;39.989200,116.456850;39.978420,116.461660;39.976530,116.464250;39.959030,116.460190;39.952380,116.461980;39.947270,116.449920;39.949230,116.449240;39.949260,116.449270;39.948140,116.443120;39.949560,116.440880;39.956830,116.447900;39.959470,116.444160;39.961930,116.441480;39.961820,116.441090;39.961870,116.441040;39.963390,116.437850
