39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590;39.799830,116.478550;39.799790,116.478480;39.799500,116.474500;39.799420,116.474520;39.799480,116.474520;39.818860,116.453250;39.829430,116.441650
39.146500,117.139470;39.146530,117.139450;39.146520,117.139490;39.146500,117.139460;39.146510,117.139510;39.146530,117.139500;39.146530,117.139480;39.146550,117.139500;39.146540,117.139540;39.146520,117.139510;39.146500,117.139460;39.146490,117.139430;39.146510,117.139510;39.146480,117.139450;39.146470,117.139430;39.146500,117.139460;39.146450,117.139420
40.064130,116.582850;40.050340,116.582620;40.033960,116.563870;40.027260,116.547360;40.016020,116.515760;40.006110,116.503190;39.984230,116.478980;39.974630,116.468160;39.967780,116.466210;39.961470,116.476210;39.939850,116.483650;39.935890,116.483620;39.931440,116.483610;39.921820,116.483500;39.916440,116.483240;39.915690,116.483370;39.915590,116.483370
40.041640,116.250840;40.043080,116.247250;40.044750,116.241620;40.044700,116.238980;40.042190,116.223680;40.040650,116.218740;40.040180,116.216810;40.039920,116.201390;40.040000,116.201090;40.040000,116.201100;40.039140,116.200900;40.037210,116.201540;40.033340,116.203650;40.031430,116.205440;40.031450,116.205410;40.032580,116.204270;40.034420,116.202860
39.998360,116.347070;39.998340,116.347030;39.998510,116.347010;39.999440,116.346850;39.999880,116.355360;39.999980,116.358010;40.000050,116.360680;40.000100,116.363130;40.000110,116.363110;39.998450,116.401410;39.998490,116.401380;39.997050,116.401420;39.994450,116.401330;39.994090,116.401320;39.994070,116.401280;39.994080,116.401270;39.991500,116.401310
40.000010,116.358010;40.000010,116.358000;40.000020,116.359320;40.000220,116.367180;39.997210,116.374060;39.996470,116.374080;39.995520,116.374080;39.995390,116.374020;39.993490,116.373990;39.992650,116.367160;39.992450,116.362980;39.992060,116.362730;39.992060,116.362740;39.988630,116.362980;39.986440,116.363030;39.985590,116.363070;39.982850,116.363220
39.958530,116.296480;39.958520,116.296460;39.959240,116.298640;39.959750,116.299810;39.959740,116.299760;39.959970,116.301830;39.959620,116.301840;39.959630,116.301850;39.959630,116.301800;39.959470,116.301460;39.959510,116.301530;39.957450,116.302290;39.948230,116.303570;39.939760,116.303970;39.935580,116.304030;39.933010,116.303980;39.929090,116.303970
39.979130,116.352550;39.977100,116.352670;39.975300,116.352690;39.975460,116.349570;39.975220,116.349310;39.975150,116.348660;39.971700,116.346760;39.970390,116.346860;39.966530,116.343190;39.966520,116.343180;39.966490,116.343180;39.966500,116.343180;39.966540,116.343190;39.966520,116.343180;39.966490,116.343260;39.966520,116.343200;39.966560,116.335450
40.077540,116.365310;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077080,116.365050;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390
39.840440,116.380500;39.840660,116.380480;39.841270,116.380430;39.841890,116.380430;39.842250,116.380410;39.842790,116.380400;39.843090,116.380390;39.852480,116.380730;39.853010,116.380730;39.853080,116.380730;39.853430,116.380750;39.854680,116.380680;39.854690,116.380580;39.855050,116.380570;39.858760,116.380620;39.863340,116.381200;39.863530,116.381250
39.934550,116.100870;39.935410,116.100480;39.929530,116.106370;39.929500,116.106470;39.929440,116.106450;39.925030,116.108780;39.918730,116.107200;39.910360,116.105650;39.902450,116.104650;39.894080,116.102860;39.889060,116.106600;39.885400,116.118620;39.887730,116.131490;39.888330,116.142670;39.885790,116.155270;39.889780,116.165590;39.890240,116.178760
39.837160,116.280480;39.829250,116.299860;39.829210,116.313310;39.829650,116.338960;39.829600,116.350320;39.829670,116.360930;39.829910,116.368750;39.830050,116.374920;39.830150,116.377900;39.830320,116.384130;39.830460,116.392790;39.827220,116.394830;39.824840,116.395090;39.810260,116.395930;39.806180,116.396120;39.804140,116.396220;39.803780,116.396230
39.898410,116.375660;39.909830,116.367720;39.916620,116.358860;39.931630,116.361920;39.936130,116.362330;39.956110,116.365040;39.974950,116.363720;39.974360,116.342250;39.979520,116.334790;39.967560,116.332850;39.953270,116.329320;39.944560,116.318530;39.944860,116.293660;39.941460,116.268530;39.941600,116.268570;39.923040,116.258980;39.899140,116.258530
39.914970,116.444130;39.915000,116.444160;39.916100,116.444030;39.920640,116.444210;39.920640,116.446650;39.921290,116.446660;39.921970,116.450420;39.921960,116.454550;39.924050,116.455670;39.934540,116.455590;39.939170,116.455650;39.950940,116.455340;39.956050,116.449020;39.959190,116.444570;39.960170,116.450060;39.959480,116.450310;39.956680,116.445670
39.987650,116.482120;39.987670,116.482100;39.986050,116.479740;39.984280,116.475040;39.986340,116.472120;39.991210,116.464600;39.996360,116.461980;40.001050,116.461790;40.006900,116.461450;40.007180,116.461400;40.007450,116.460660;40.005880,116.456530;40.005890,116.456740;40.007210,116.458150;40.004880,116.461300;40.003610,116.457250;40.000830,116.456730
