39.611500,116.686080;39.626730,116.657070;39.643000,116.619270;39.685280,116.574550;39.722350,116.566760;39.736960,116.550500;39.753950,116.540020;39.773530,116.527250;39.798310,116.499070;39.797700,116.488590
39.872160,116.630110;39.886800,116.642010;39.886540,116.641990;39.774070,116.659800;39.886510,116.642360;39.774070,116.659800;39.886840,116.642240;39.872250,116.630230;39.886540,116.641990;39.886510,116.642360
39.966990,116.390040;39.975410,116.411450;39.980180,116.427330;39.982120,116.421400;39.967740,116.405080;39.966380,116.339240;39.941070,116.304000;39.895590,116.302240;39.896190,116.335930;39.896350,116.335710
39.901530,116.367820;39.899910,116.367820;39.898940,116.367880;39.887890,116.380290;39.891530,116.394650;39.905320,116.405250;39.908390,116.411520;39.907470,116.411530;39.906930,116.419430;39.896100,116.454090
39.911120,116.495500;39.911130,116.495570;39.910820,116.495150;39.910820,116.495120;39.912880,116.495250;39.914550,116.500390;39.914750,116.502140;39.914740,116.502000;39.914740,116.501720;39.915360,116.463400
39.905650,116.411630;39.905680,116.411570;39.905670,116.411610;39.905620,116.411610;39.899780,116.410840;39.909110,116.410710;39.932170,116.410930;39.952110,116.419160;39.952130,116.419220;39.952530,116.418990
40.078190,116.581540;40.078150,116.581530;40.078160,116.581530;40.078170,116.581540;40.078160,116.581530;40.078150,116.581580;40.078160,116.581570;40.078200,116.581530;40.078190,116.581530;40.078170,116.581560
40.006380,116.503360;39.996170,116.492080;39.986060,116.480980;39.967100,116.459930;39.949580,116.440380;39.948470,116.440740;39.945280,116.444180;39.940290,116.444140;39.938900,116.444160;39.936230,116.444200
39.967600,116.421840;39.944270,116.455470;39.943960,116.455880;39.944810,116.455870;39.946560,116.461110;39.946480,116.462500;39.936140,116.468610;39.926420,116.466950;39.921990,116.463150;39.907010,116.455420
39.795120,116.474670;39.795240,116.474870;39.795790,116.472920;39.797630,116.471800;39.800010,116.474120;39.800000,116.474220;39.799970,116.474240;39.800000,116.474210;39.802730,116.471700;39.802800,116.471620
39.146500,117.139470;39.146530,117.139450;39.146520,117.139490;39.146500,117.139460;39.146510,117.139510;39.146530,117.139500;39.146530,117.139480;39.146550,117.139500;39.146540,117.139540;39.146520,117.139510
40.064130,116.582850;40.050340,116.582620;40.033960,116.563870;40.027260,116.547360;40.016020,116.515760;40.006110,116.503190;39.984230,116.478980;39.974630,116.468160;39.967780,116.466210;39.961470,116.476210
40.041640,116.250840;40.043080,116.247250;40.044750,116.241620;40.044700,116.238980;40.042190,116.223680;40.040650,116.218740;40.040180,116.216810;40.039920,116.201390;40.040000,116.201090;40.040000,116.201100
39.998360,116.347070;39.998340,116.347030;39.998510,116.347010;39.999440,116.346850;39.999880,116.355360;39.999980,116.358010;40.000050,116.360680;40.000100,116.363130;40.000110,116.363110;39.998450,116.401410
40.000010,116.358010;40.000010,116.358000;40.000020,116.359320;40.000220,116.367180;39.997210,116.374060;39.996470,116.374080;39.995520,116.374080;39.995390,116.374020;39.993490,116.373990;39.992650,116.367160
39.958530,116.296480;39.958520,116.296460;39.959240,116.298640;39.959750,116.299810;39.959740,116.299760;39.959970,116.301830;39.959620,116.301840;39.959630,116.301850;39.959630,116.301800;39.959470,116.301460
39.979130,116.352550;39.977100,116.352670;39.975300,116.352690;39.975460,116.349570;39.975220,116.349310;39.975150,116.348660;39.971700,116.346760;39.970390,116.346860;39.966530,116.343190;39.966520,116.343180
40.077540,116.365310;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077080,116.365050;40.077150,116.365390;40.076970,116.365030;40.077540,116.365310;40.077150,116.365390;40.077080,116.365050
39.840440,116.380500;39.840660,116.380480;39.841270,116.380430;39.841890,116.380430;39.842250,116.380410;39.842790,116.380400;39.843090,116.380390;39.852480,116.380730;39.853010,116.380730;39.853080,116.380730
39.934550,116.100870;39.935410,116.100480;39.929530,116.106370;39.929500,116.106470;39.929440,116.106450;39.925030,116.108780;39.918730,116.107200;39.910360,116.105650;39.902450,116.104650;39.894080,116.102860
39.837160,116.280480;39.829250,116.299860;39.829210,116.313310;39.829650,116.338960;39.829600,116.350320;39.829670,116.360930;39.829910,116.368750;39.830050,116.374920;39.830150,116.377900;39.830320,116.384130
39.898410,116.375660;39.909830,116.367720;39.916620,116.358860;39.931630,116.361920;39.936130,116.362330;39.956110,116.365040;39.974950,116.363720;39.974360,116.342250;39.979520,116.334790;39.967560,116.332850
39.914970,116.444130;39.915000,116.444160;39.916100,116.444030;39.920640,116.444210;39.920640,116.446650;39.921290,116.446660;39.921970,116.450420;39.921960,116.454550;39.924050,116.455670;39.934540,116.455590
39.987650,116.482120;39.987670,116.482100;39.986050,116.479740;39.984280,116.475040;39.986340,116.472120;39.991210,116.464600;39.996360,116.461980;40.001050,116.461790;40.006900,116.461450;40.007180,116.461400
